iter	Passed	Remaining
0	133	133111
1	137	68736
2	141	47068
3	145	36240
4	149	29770
5	153	25461
6	158	22415
7	162	20098
8	166	18340
9	170	16889
10	174	15691
11	178	14696
12	182	13892
13	186	13146
14	190	12516
15	194	11965
16	198	11482
17	202	11066
18	207	10696
19	212	10419
20	216	10112
21	221	9839
22	225	9580
23	230	9356
24	233	9125
25	237	8912
26	241	8719
27	245	8536
28	250	8380
29	254	8215
30	257	8033
31	260	7869
32	262	7702
33	264	7527
34	267	7362
35	268	7202
36	271	7054
37	273	6912
38	274	6774
39	276	6646
40	278	6516
41	279	6386
42	281	6262
43	282	6145
44	284	6038
45	286	5931
46	287	5824
47	288	5720
48	289	5620
49	290	5526
50	292	5436
51	293	5349
52	294	5264
53	295	5183
54	297	5104
55	298	5029
56	299	4956
57	300	4884
58	301	4815
59	303	4748
60	304	4685
61	305	4623
62	306	4561
63	307	4502
64	309	4446
65	310	4390
66	311	4336
67	312	4285
68	313	4235
69	315	4186
70	316	4138
71	317	4092
72	318	4047
73	319	4002
74	321	3960
75	322	3919
76	323	3878
77	324	3838
78	325	3798
79	327	3760
80	328	3725
81	329	3689
82	330	3648
83	331	3614
84	332	3580
85	333	3548
86	335	3515
87	336	3484
88	337	3453
89	338	3424
90	339	3394
91	341	3367
92	342	3339
93	343	3312
94	344	3285
95	346	3259
96	347	3232
97	348	3207
98	349	3182
99	350	3157
100	352	3134
101	353	3110
102	354	3088
103	355	3065
104	357	3043
105	358	3022
106	359	3000
107	360	2979
108	361	2958
109	363	2938
110	364	2918
111	365	2898
112	366	2879
113	367	2860
114	369	2841
115	370	2822
116	371	2802
117	372	2785
118	373	2768
119	375	2750
120	376	2734
121	377	2716
122	378	2699
123	379	2683
124	380	2666
125	382	2651
126	383	2633
127	384	2618
128	385	2604
129	386	2589
130	388	2575
131	389	2561
132	390	2547
133	391	2533
134	393	2519
135	394	2505
136	395	2492
137	396	2478
138	398	2465
139	399	2452
140	400	2439
141	401	2424
142	402	2412
143	403	2400
144	405	2388
145	406	2376
146	407	2364
147	408	2352
148	409	2341
149	411	2329
150	412	2318
151	413	2307
152	414	2296
153	415	2285
154	417	2274
155	418	2264
156	419	2253
157	420	2242
158	422	2232
159	423	2222
160	424	2210
161	425	2200
162	426	2190
163	427	2180
164	429	2171
165	430	2161
166	431	2152
167	432	2142
168	433	2133
169	435	2124
170	436	2116
171	437	2107
172	439	2099
173	440	2092
174	442	2085
175	443	2077
176	445	2069
177	446	2060
178	447	2052
179	448	2043
180	449	2035
181	451	2027
182	452	2018
183	453	2010
184	454	2002
185	455	1994
186	457	1986
187	458	1979
188	459	1971
189	460	1963
190	461	1956
191	463	1949
192	464	1941
193	465	1934
194	466	1927
195	468	1920
196	469	1913
197	470	1906
198	471	1899
199	473	1892
200	474	1885
201	475	1878
202	476	1871
203	477	1864
204	479	1858
205	480	1851
206	481	1844
207	482	1838
208	483	1831
209	485	1825
210	486	1818
211	487	1812
212	488	1805
213	490	1799
214	491	1793
215	492	1787
216	493	1781
217	494	1774
218	495	1768
219	497	1762
220	498	1757
221	499	1751
222	500	1745
223	502	1739
224	503	1733
225	504	1728
226	505	1722
227	507	1716
228	508	1711
229	509	1706
230	510	1700
231	511	1694
232	513	1689
233	514	1683
234	515	1678
235	516	1672
236	517	1667
237	519	1662
238	520	1656
239	521	1651
240	522	1646
241	524	1641
242	525	1636
243	526	1631
244	527	1625
245	528	1620
246	529	1615
247	531	1610
248	532	1605
249	533	1600
250	534	1596
251	536	1591
252	537	1587
253	538	1582
254	539	1577
255	541	1572
256	542	1567
257	543	1562
258	544	1558
259	545	1553
260	546	1548
261	548	1544
262	549	1539
263	550	1535
264	551	1530
265	552	1525
266	554	1521
267	555	1516
268	556	1512
269	557	1507
270	558	1503
271	560	1498
272	561	1494
273	562	1490
274	563	1486
275	565	1482
276	566	1478
277	567	1474
278	568	1470
279	570	1466
280	571	1462
281	572	1457
282	573	1453
283	574	1449
284	576	1445
285	577	1441
286	578	1437
287	579	1433
288	581	1429
289	582	1425
290	583	1421
291	584	1417
292	585	1413
293	586	1409
294	588	1405
295	589	1401
296	590	1397
297	591	1394
298	593	1390
299	594	1386
300	595	1382
301	596	1379
302	597	1375
303	599	1371
304	600	1367
305	601	1364
306	602	1360
307	603	1356
308	605	1353
309	606	1349
310	607	1346
311	608	1342
312	609	1338
313	611	1335
314	612	1331
315	613	1328
316	614	1324
317	615	1321
318	617	1317
319	618	1313
320	619	1310
321	620	1306
322	621	1303
323	623	1300
324	624	1296
325	625	1293
326	626	1290
327	628	1286
328	629	1283
329	630	1279
330	631	1276
331	632	1273
332	634	1270
333	635	1267
334	636	1264
335	638	1260
336	639	1257
337	640	1254
338	641	1251
339	642	1248
340	644	1244
341	645	1241
